pattern_idx,overall_bitwise_fraction_diff,per_gate_mean_hamming,counted_bits_total,counted_gates_total,final_accuracy,final_hard_loss,per_layer_bitwise_fraction_diff
65,0.36474609375,0.36474609375,2048,128,0.9296875,144.0,"[0.27764421701431274, 0.4345930218696594, 0.4325000047683716, 0.34375]"
66,0.3662109375,0.3662109375,2048,128,0.9365234375,130.0,"[0.2869318127632141, 0.4170673191547394, 0.3697916567325592, 0.4609375]"
67,0.4033203125,0.4033203125,2048,128,0.92822265625,147.0,"[0.3062500059604645, 0.49609375, 0.43465909361839294, 0.3671875]"
68,0.3779296875,0.3779296875,2048,128,0.93896484375,125.0,"[0.2750000059604645, 0.4375, 0.46875, 0.40625]"
69,0.40576171875,0.40576171875,2048,128,0.94287109375,117.0,"[0.3307291567325592, 0.4680555462837219, 0.4583333432674408, 0.328125]"
70,0.38525390625,0.38525390625,2048,128,0.943359375,116.0,"[0.30053192377090454, 0.44140625, 0.44749999046325684, 0.3515625]"
71,0.37060546875,0.37060546875,2048,128,0.95263671875,97.0,"[0.2819148898124695, 0.42500001192092896, 0.41847825050354004, 0.4140625]"
72,0.34716796875,0.34716796875,2048,128,0.9384765625,126.0,"[0.2678571343421936, 0.41576087474823, 0.39250001311302185, 0.296875]"
73,0.349609375,0.349609375,2048,128,0.94873046875,105.0,"[0.24601063132286072, 0.4521276652812958, 0.38461539149284363, 0.2421875]"
74,0.375,0.375,2048,128,0.94482421875,113.0,"[0.3187499940395355, 0.4005681872367859, 0.45192307233810425, 0.3359375]"
75,0.3642578125,0.3642578125,2048,128,0.93115234375,141.0,"[0.2630208432674408, 0.43995097279548645, 0.4166666567325592, 0.3515625]"
76,0.37939453125,0.37939453125,2048,128,0.939453125,124.0,"[0.2890625, 0.4308510720729828, 0.45750001072883606, 0.375]"
77,0.39404296875,0.39404296875,2048,128,0.96826171875,65.0,"[0.3288043439388275, 0.4477040767669678, 0.3799999952316284, 0.484375]"
78,0.38134765625,0.38134765625,2048,128,0.9541015625,94.0,"[0.28698980808258057, 0.44897958636283875, 0.44034090638160706, 0.3828125]"
79,0.4013671875,0.4013671875,2048,128,0.9326171875,138.0,"[0.2926136255264282, 0.4828431308269501, 0.45500001311302185, 0.3125]"
80,0.34033203125,0.34033203125,2048,128,0.95263671875,97.0,"[0.2608173191547394, 0.41527777910232544, 0.3695652186870575, 0.3515625]"
81,0.3369140625,0.3369140625,2048,128,0.9345703125,134.0,"[0.24592390656471252, 0.4049479067325592, 0.3677884638309479, 0.3515625]"
82,0.37939453125,0.37939453125,2048,128,0.96630859375,69.0,"[0.29215115308761597, 0.4433962404727936, 0.3984375, 0.3671875]"
83,0.35009765625,0.35009765625,2048,128,0.9443359375,114.0,"[0.22576530277729034, 0.4242021143436432, 0.4557291567325592, 0.359375]"
84,0.38232421875,0.38232421875,2048,128,0.94189453125,119.0,"[0.3055555522441864, 0.45249998569488525, 0.38999998569488525, 0.3515625]"
85,0.35302734375,0.35302734375,2048,128,0.962890625,76.0,"[0.26222825050354004, 0.44281914830207825, 0.36342594027519226, 0.3125]"
